query,preferencias_count,mejoras_preferidos_count,cambios_top10,score_personalizacion,tiene_cambios
car parts,2,0,0,0.0,False
led lights for truck,1,0,0,0.0,False
door panel courtesy light,1,0,0,0.0,False
generator stator,1,0,0,0.0,False
carburetor rebuild kit,1,0,0,0.0,False
door handle replacement,1,0,0,0.0,False
fake nails,1,0,0,0.0,False
volumizing conditioner,1,0,0,0.0,False
acrylic nail tips,1,0,0,0.0,False
brazilian virgin hair,1,0,0,0.0,False
curly synthetic wigs,1,0,0,0.0,False
christian daily devotional,1,0,0,0.0,False
star trek audiobook,1,0,0,0.0,False
spanish literature,1,0,0,0.0,False
horror novel dead sea,1,0,0,0.0,False
terrorism thriller,1,0,0,0.0,False
bodycon dress,1,0,0,0.0,False
karate uniform,1,0,0,0.0,False
glitter trucker hat,1,0,0,0.0,False
stretchy skater skirt,1,0,0,0.0,False
