query,baseline_p5,rlhf_p5,mejora_p5,baseline_pos,rlhf_pos,mejora_pos,es_dificil
hair dye dark brown,0.0,0.0,0.0,inf,inf,,True
led,0.0,0.0,0.0,7.0,7.0,0.0,True
touch up paint chip,0.0,0.0,0.0,inf,inf,,True
car games,0.0,0.0,0.0,8.0,8.0,0.0,True
spark plug,0.0,0.0,0.0,inf,inf,,True
makeup brush set,0.0,0.0,0.0,inf,inf,,True
car door handle replacement,0.0,0.0,0.0,inf,inf,,True
repuesto de carburador para motor de moto,0.0,0.0,0.0,6.0,6.0,0.0,True
star trek audiobook,0.0,0.0,0.0,6.0,6.0,0.0,True
motorcycle battery,0.0,0.0,0.0,inf,inf,,True
LED light bar,0.0,0.0,0.0,inf,inf,,True
nail polish gel,0.0,0.0,0.0,inf,inf,,True
truck side steps,0.0,0.0,0.0,inf,inf,,True
ATV battery replacement,0.0,0.0,0.0,inf,inf,,True
